,Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,ingresos_totales
count,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103904.0,103594.0,103904.0
mean,51951.5,64924.21050200185,39.379706267323684,1189.4483754234677,2.72968316907915,3.06029604250077,2.7569006005543577,2.9768825069294733,3.2021288882044963,3.250375346473668,3.4393959809054513,3.358157530027718,3.382362565445026,3.3510548198336925,3.6318332306744687,3.304290498922082,3.6404277024946103,3.2863508623344626,14.815618263012011,15.178678301832152,48339.171600708345
std,29994.64552215945,37463.81225155132,15.114963699737826,997.1472805289596,1.3278294712362222,1.5250751972834675,1.398929472659161,1.2776210103002392,1.329532710858209,1.3495089537133296,1.3190875186173407,1.3329907146271214,1.2883543609017813,1.3156046193255744,1.180903411075977,1.2653958269270793,1.1756630338758918,1.3122728470665304,38.230900584141835,38.69868202096663,48115.06250893564
min,0.0,1.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372.0
25%,25975.75,32533.75,27.0,414.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,13793.5
50%,51951.5,64856.5,40.0,843.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,28680.0
75%,77927.25,97368.25,51.0,1743.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,12.0,13.0,68847.0
max,103903.0,129880.0,85.0,4983.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1592.0,1584.0,333861.0
